elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,56,0.169,0.259,0.717,0.011,0.186,0.055,0.148,0.005,0.011,0.094,0.584,0.076,0.541,0.001,0.001,0.001,0.002,56
2.0,60,0.147,0.210,0.246,0.008,0.039,0.044,0.140,0.004,0.007,0.088,0.149,0.069,0.120,0.000,0.001,0.001,0.001,60
3.0,60,0.154,0.223,0.245,0.008,0.014,0.047,0.134,0.004,0.007,0.091,0.141,0.072,0.112,0.000,0.001,0.001,0.001,60
4.0,60,0.166,0.235,0.266,0.010,0.122,0.048,0.153,0.005,0.008,0.101,0.176,0.081,0.150,0.001,0.001,0.001,0.001,60
5.0,60,0.153,0.215,0.274,0.009,0.110,0.042,0.071,0.004,0.008,0.095,0.201,0.077,0.171,0.000,0.001,0.001,0.001,60
6.0,60,0.148,0.202,0.235,0.007,0.015,0.043,0.074,0.004,0.007,0.090,0.137,0.072,0.110,0.000,0.001,0.001,0.001,60
7.0,60,0.160,0.202,0.236,0.008,0.049,0.043,0.072,0.004,0.008,0.100,0.161,0.080,0.111,0.000,0.001,0.001,0.001,60
8.0,60,0.165,0.234,0.242,0.008,0.014,0.045,0.073,0.005,0.008,0.104,0.151,0.085,0.128,0.001,0.001,0.001,0.001,60
9.0,60,0.157,0.232,0.249,0.008,0.015,0.044,0.073,0.004,0.008,0.098,0.178,0.079,0.153,0.001,0.001,0.001,0.001,60
10.0,60,0.165,0.215,0.274,0.008,0.012,0.046,0.072,0.005,0.008,0.103,0.191,0.083,0.165,0.001,0.001,0.001,0.001,60
11.0,60,0.157,0.210,0.256,0.007,0.013,0.043,0.067,0.005,0.008,0.099,0.165,0.081,0.136,0.000,0.001,0.001,0.001,60
12.0,60,0.162,0.221,0.236,0.008,0.015,0.044,0.072,0.005,0.008,0.102,0.152,0.083,0.128,0.000,0.001,0.001,0.001,60
13.0,60,0.162,0.234,0.240,0.008,0.022,0.045,0.073,0.005,0.008,0.101,0.144,0.082,0.113,0.000,0.001,0.001,0.001,60
14.0,60,0.166,0.232,0.255,0.008,0.013,0.045,0.072,0.005,0.007,0.105,0.188,0.086,0.166,0.000,0.001,0.001,0.002,60
15.0,60,0.161,0.232,0.257,0.007,0.014,0.044,0.072,0.005,0.007,0.102,0.175,0.083,0.147,0.000,0.001,0.001,0.001,60
16.0,60,0.163,0.226,0.236,0.008,0.014,0.047,0.072,0.005,0.008,0.101,0.158,0.081,0.130,0.001,0.001,0.001,0.001,60
17.0,60,0.156,0.199,0.234,0.008,0.014,0.044,0.070,0.004,0.007,0.098,0.140,0.079,0.111,0.000,0.001,0.001,0.001,60
18.0,60,0.162,0.215,0.267,0.008,0.015,0.044,0.075,0.005,0.008,0.102,0.174,0.083,0.145,0.000,0.001,0.001,0.001,60
19.0,60,0.155,0.229,0.277,0.009,0.126,0.045,0.182,0.004,0.008,0.093,0.137,0.074,0.109,0.000,0.001,0.001,0.001,60
20.0,60,0.158,0.225,0.250,0.007,0.012,0.046,0.139,0.004,0.010,0.098,0.136,0.080,0.108,0.000,0.001,0.001,0.001,60
20.1,4,0.153,0.165,0.181,0.007,0.008,0.042,0.050,0.004,0.005,0.097,0.118,0.079,0.098,0.000,0.001,0.001,0.001,4
