elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,41,18.263,42.600,54.223,16.240,52.692,0.037,0.093,0.004,0.009,1.979,19.997,0.083,0.887,1.493,19.873,0.388,3.957,41
2.0,50,15.470,32.606,34.482,14.636,34.047,0.038,0.096,0.004,0.008,0.790,7.101,0.057,0.163,0.300,0.913,0.418,6.752,50
3.0,56,13.966,27.595,28.550,13.483,28.047,0.030,0.062,0.003,0.007,0.447,0.781,0.047,0.136,0.182,0.309,0.204,0.493,56
4.0,55,13.794,27.951,28.887,13.304,28.554,0.031,0.072,0.004,0.037,0.453,0.738,0.048,0.117,0.178,0.326,0.213,0.508,55
5.1,55,14.257,27.804,29.530,13.787,29.174,0.030,0.057,0.003,0.007,0.435,0.701,0.044,0.104,0.175,0.266,0.202,0.485,55
6.1,56,14.000,27.835,28.347,13.529,28.045,0.030,0.072,0.003,0.008,0.435,0.723,0.044,0.106,0.175,0.298,0.202,0.484,56
7.1,56,13.987,27.805,28.417,13.509,27.815,0.031,0.088,0.003,0.009,0.441,0.793,0.045,0.128,0.181,0.425,0.201,0.539,56
8.1,54,14.005,27.784,28.404,13.525,28.060,0.029,0.074,0.003,0.009,0.446,0.809,0.048,0.145,0.183,0.429,0.201,0.530,54
9.1,56,13.902,27.613,27.684,13.437,27.384,0.027,0.046,0.003,0.005,0.433,0.676,0.048,0.110,0.181,0.440,0.191,0.465,56
10.1,55,13.998,28.966,30.134,13.502,29.791,0.032,0.106,0.003,0.009,0.459,1.184,0.045,0.104,0.190,0.462,0.210,0.664,55
11.2,55,14.215,27.679,27.792,13.749,27.487,0.028,0.050,0.003,0.006,0.432,1.021,0.046,0.121,0.177,0.462,0.195,0.534,55
12.2,56,13.916,27.491,28.088,13.465,27.803,0.029,0.109,0.003,0.007,0.417,0.649,0.047,0.105,0.169,0.241,0.188,0.439,56
13.2,56,14.019,27.779,29.204,13.540,28.891,0.030,0.075,0.003,0.010,0.444,0.702,0.044,0.164,0.185,0.328,0.201,0.497,56
14.2,54,14.059,27.972,28.732,13.580,28.447,0.030,0.101,0.003,0.007,0.444,0.803,0.049,0.144,0.186,0.411,0.196,0.578,54
15.2,56,14.062,28.122,28.802,13.554,28.222,0.032,0.071,0.003,0.008,0.471,1.021,0.044,0.106,0.192,0.425,0.220,0.750,56
16.3,56,14.049,28.124,28.677,13.552,28.298,0.031,0.061,0.004,0.038,0.460,0.891,0.043,0.085,0.181,0.264,0.222,0.626,56
17.3,56,13.975,27.656,27.930,13.484,27.562,0.031,0.069,0.003,0.008,0.455,0.757,0.043,0.094,0.184,0.332,0.213,0.542,56
18.3,56,13.978,27.792,28.376,13.499,27.983,0.029,0.065,0.003,0.007,0.446,0.757,0.041,0.095,0.185,0.380,0.205,0.539,56
19.3,56,14.091,28.062,30.192,13.610,29.907,0.030,0.066,0.003,0.007,0.445,0.775,0.044,0.130,0.185,0.447,0.203,0.571,56
20.3,56,13.935,27.548,28.391,13.470,28.062,0.030,0.103,0.003,0.007,0.430,0.736,0.047,0.111,0.172,0.255,0.197,0.493,56
21.4,54,14.062,28.350,29.299,13.573,28.935,0.032,0.083,0.003,0.007,0.452,0.717,0.045,0.119,0.189,0.438,0.204,0.512,54
22.3,55,13.640,27.389,27.832,13.187,27.561,0.029,0.086,0.003,0.007,0.419,0.711,0.043,0.102,0.173,0.276,0.189,0.449,55
