elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.1,13,76.641,78.788,79.311,0.009,0.011,0.039,0.050,0.005,0.006,76.586,79.258,76.563,79.236,0.001,0.002,0.001,0.001,13
2.1,13,76.679,77.290,77.392,0.009,0.014,0.035,0.041,0.005,0.007,76.629,77.344,76.607,77.322,0.001,0.002,0.001,0.001,13
3.2,13,76.328,77.874,78.262,0.009,0.012,0.035,0.046,0.005,0.006,76.278,78.209,76.257,78.187,0.001,0.002,0.001,0.001,13
4.2,13,75.749,76.389,76.559,0.009,0.010,0.036,0.042,0.005,0.006,75.698,76.506,75.677,76.484,0.001,0.002,0.001,0.001,13
5.3,13,76.898,79.282,80.315,0.010,0.025,0.036,0.045,0.004,0.006,76.846,80.268,76.824,80.248,0.001,0.002,0.001,0.001,13
6.4,10,76.259,77.062,77.399,0.010,0.011,0.042,0.051,0.005,0.006,76.200,77.347,76.174,77.304,0.001,0.002,0.001,0.002,10
7.4,12,75.127,75.709,76.869,0.008,0.009,0.036,0.045,0.006,0.012,75.075,76.816,75.052,76.794,0.001,0.002,0.001,0.002,12
8.5,13,75.364,77.181,77.403,0.008,0.010,0.037,0.044,0.005,0.006,75.311,77.358,75.288,77.340,0.001,0.002,0.001,0.002,13
9.5,13,74.626,75.164,75.200,0.009,0.012,0.033,0.037,0.004,0.006,74.577,75.146,74.556,75.118,0.001,0.002,0.001,0.002,13
10.5,13,74.884,75.259,75.438,0.008,0.010,0.036,0.044,0.005,0.008,74.833,75.380,74.811,75.358,0.001,0.002,0.001,0.001,13
11.6,13,74.972,75.505,75.876,0.009,0.012,0.034,0.039,0.005,0.006,74.923,75.833,74.902,75.814,0.001,0.002,0.001,0.002,13
12.6,13,74.973,75.592,75.692,0.008,0.011,0.035,0.042,0.005,0.008,74.923,75.652,74.902,75.635,0.001,0.002,0.001,0.002,13
13.7,13,75.560,76.582,77.690,0.009,0.011,0.036,0.042,0.005,0.006,75.509,77.640,75.487,77.619,0.001,0.003,0.001,0.002,13
14.7,13,75.657,76.782,77.038,0.009,0.011,0.038,0.045,0.005,0.006,75.603,76.991,75.581,76.970,0.001,0.002,0.001,0.002,13
15.8,13,75.202,76.469,77.891,0.008,0.010,0.036,0.045,0.005,0.006,75.150,77.847,75.128,77.828,0.001,0.002,0.001,0.002,13
16.8,13,75.047,75.455,76.192,0.008,0.011,0.034,0.037,0.005,0.006,74.998,76.139,74.977,76.119,0.001,0.002,0.001,0.001,13
17.9,13,74.712,75.549,75.667,0.008,0.010,0.033,0.039,0.005,0.007,74.663,75.617,74.643,75.597,0.001,0.001,0.001,0.002,13
18.9,13,74.998,75.684,76.050,0.008,0.011,0.034,0.041,0.005,0.006,74.950,76.004,74.928,75.984,0.001,0.002,0.001,0.002,13
19.9,13,74.867,75.330,75.926,0.009,0.012,0.035,0.039,0.005,0.005,74.817,75.882,74.796,75.863,0.001,0.002,0.001,0.002,13
21.0,13,74.671,75.218,75.403,0.008,0.011,0.034,0.040,0.005,0.006,74.622,75.353,74.601,75.334,0.001,0.001,0.001,0.002,13
22.0,13,75.377,76.305,76.998,0.009,0.022,0.036,0.037,0.005,0.006,75.325,76.946,75.301,76.922,0.001,0.002,0.001,0.002,13
23.1,13,75.932,76.707,76.959,0.010,0.031,0.035,0.041,0.005,0.006,75.880,76.904,75.855,76.880,0.001,0.002,0.001,0.001,13
24.2,13,76.138,77.281,77.608,0.009,0.011,0.038,0.059,0.005,0.006,76.085,77.552,76.064,77.529,0.001,0.002,0.001,0.002,13
25.2,13,77.291,81.143,82.052,0.009,0.015,0.041,0.092,0.005,0.008,77.234,81.932,77.208,81.879,0.001,0.002,0.001,0.003,13
26.3,13,77.349,78.146,80.026,0.009,0.011,0.038,0.047,0.005,0.006,77.294,79.960,77.272,79.938,0.001,0.002,0.001,0.002,13
27.4,13,77.540,78.316,78.504,0.009,0.011,0.039,0.047,0.005,0.006,77.484,78.447,77.461,78.422,0.001,0.002,0.001,0.003,13
28.4,13,77.308,78.528,78.899,0.009,0.011,0.038,0.051,0.005,0.006,77.254,78.843,77.232,78.821,0.001,0.002,0.001,0.002,13
