elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,31,28.176,55.052,56.640,27.681,56.360,0.050,0.097,0.005,0.009,0.438,0.733,0.027,0.069,0.126,0.192,0.264,0.600,31
2.0,32,27.307,54.476,58.200,26.781,57.716,0.049,0.094,0.005,0.015,0.470,0.891,0.028,0.056,0.142,0.279,0.277,0.599,32
3.1,32,27.101,53.875,56.079,26.596,55.773,0.046,0.071,0.005,0.008,0.451,0.820,0.027,0.044,0.138,0.221,0.265,0.623,32
4.1,32,27.100,54.250,54.539,26.588,54.250,0.045,0.082,0.005,0.009,0.460,0.755,0.026,0.044,0.138,0.365,0.275,0.613,32
5.1,32,26.895,53.413,53.569,26.379,53.284,0.045,0.084,0.005,0.009,0.464,0.796,0.027,0.078,0.125,0.236,0.292,0.681,32
6.2,32,26.987,53.587,53.891,26.474,53.598,0.050,0.111,0.005,0.012,0.454,0.810,0.027,0.053,0.138,0.247,0.267,0.602,32
7.2,32,27.126,54.195,54.899,26.596,54.356,0.047,0.086,0.005,0.010,0.476,0.867,0.028,0.055,0.150,0.343,0.276,0.654,32
8.2,32,27.106,53.952,54.146,26.564,53.864,0.048,0.082,0.005,0.009,0.486,0.900,0.029,0.094,0.149,0.298,0.285,0.642,32
9.2,32,27.061,54.435,54.823,26.559,54.535,0.045,0.092,0.005,0.011,0.449,0.776,0.026,0.044,0.128,0.198,0.276,0.652,32
10.2,32,27.207,54.021,54.189,26.677,53.894,0.045,0.085,0.005,0.010,0.478,0.958,0.027,0.076,0.138,0.219,0.292,0.743,32
11.3,32,27.587,56.967,57.547,27.059,57.215,0.046,0.084,0.005,0.009,0.475,0.818,0.029,0.070,0.136,0.198,0.287,0.669,32
12.3,32,26.944,53.832,54.217,26.447,53.940,0.044,0.087,0.005,0.010,0.446,0.738,0.027,0.044,0.129,0.200,0.270,0.613,32
13.3,32,26.965,54.351,55.229,26.454,54.938,0.045,0.092,0.005,0.010,0.458,0.759,0.027,0.065,0.130,0.292,0.280,0.628,32
14.3,32,27.117,54.742,55.625,26.621,55.346,0.046,0.093,0.005,0.010,0.443,0.755,0.026,0.052,0.130,0.247,0.266,0.596,32
15.3,32,27.067,54.432,55.739,26.559,55.465,0.046,0.086,0.005,0.010,0.454,0.757,0.027,0.055,0.134,0.267,0.272,0.633,32
16.4,32,27.228,54.016,54.807,26.712,54.524,0.047,0.087,0.005,0.010,0.462,0.840,0.028,0.068,0.132,0.208,0.281,0.714,32
17.4,32,27.012,53.632,53.866,26.510,53.605,0.046,0.098,0.005,0.010,0.448,0.771,0.028,0.069,0.125,0.197,0.274,0.592,32
18.4,32,27.084,53.857,54.059,26.577,53.779,0.046,0.092,0.005,0.012,0.455,0.967,0.026,0.055,0.136,0.283,0.272,0.641,32
19.4,33,26.183,54.133,54.563,25.671,54.273,0.045,0.088,0.005,0.010,0.459,0.777,0.027,0.053,0.135,0.249,0.277,0.605,33
20.4,32,26.966,54.191,55.312,26.472,54.999,0.044,0.080,0.005,0.008,0.443,0.729,0.026,0.046,0.130,0.179,0.267,0.597,32
21.5,31,27.875,53.809,54.909,27.367,54.637,0.047,0.076,0.005,0.013,0.453,0.776,0.028,0.076,0.134,0.266,0.271,0.631,31
22.5,32,27.309,54.069,54.951,26.787,54.672,0.046,0.086,0.005,0.010,0.468,0.796,0.030,0.091,0.135,0.274,0.281,0.661,32
