elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,61,9.761,19.975,21.865,9.287,21.502,0.031,0.058,0.003,0.008,0.437,0.885,0.039,0.091,0.159,0.449,0.225,0.624,61
2.0,60,10.305,21.178,22.123,9.870,21.838,0.030,0.093,0.003,0.007,0.399,0.722,0.032,0.079,0.141,0.229,0.213,0.564,60
3.0,60,11.273,22.501,23.426,10.838,23.081,0.029,0.058,0.003,0.010,0.401,0.784,0.033,0.090,0.148,0.353,0.205,0.535,60
4.0,60,11.362,22.724,23.272,10.928,23.016,0.028,0.066,0.004,0.055,0.400,0.758,0.034,0.124,0.142,0.298,0.211,0.513,60
5.0,60,11.179,22.250,22.879,10.735,22.593,0.030,0.096,0.003,0.008,0.410,0.714,0.032,0.052,0.149,0.362,0.215,0.554,60
6.0,60,11.282,22.638,22.778,10.845,22.538,0.028,0.057,0.003,0.008,0.403,0.777,0.032,0.058,0.145,0.346,0.213,0.565,60
7.0,60,11.299,22.696,23.236,10.857,22.899,0.031,0.108,0.004,0.037,0.404,0.723,0.032,0.075,0.142,0.260,0.217,0.519,60
8.0,60,11.250,22.532,23.110,10.822,22.756,0.028,0.061,0.004,0.034,0.395,0.707,0.033,0.093,0.138,0.243,0.210,0.545,60
9.0,60,11.146,22.297,22.420,10.685,22.091,0.031,0.095,0.004,0.008,0.423,0.743,0.037,0.066,0.157,0.383,0.216,0.583,60
10.0,60,11.054,22.017,22.474,10.613,22.258,0.030,0.062,0.004,0.034,0.405,0.721,0.036,0.074,0.146,0.296,0.208,0.551,60
11.0,60,11.384,22.727,22.999,10.927,22.653,0.031,0.072,0.004,0.034,0.420,0.743,0.037,0.094,0.149,0.354,0.220,0.570,60
12.0,60,11.457,22.690,23.576,11.002,23.289,0.031,0.090,0.004,0.010,0.419,0.730,0.036,0.093,0.151,0.375,0.217,0.537,60
13.0,60,11.467,22.756,23.380,11.016,23.037,0.030,0.059,0.003,0.008,0.415,0.718,0.034,0.096,0.149,0.383,0.218,0.556,60
14.0,60,11.297,22.546,22.989,10.865,22.644,0.029,0.063,0.003,0.008,0.397,0.786,0.032,0.071,0.139,0.220,0.213,0.602,60
15.0,60,11.501,22.982,23.729,11.067,23.309,0.029,0.067,0.004,0.035,0.399,0.695,0.031,0.056,0.144,0.264,0.211,0.531,60
16.0,60,11.377,22.566,22.885,10.934,22.590,0.029,0.084,0.003,0.006,0.409,0.794,0.034,0.091,0.144,0.242,0.218,0.545,60
17.0,60,11.293,22.560,24.039,10.854,23.750,0.029,0.066,0.003,0.009,0.405,0.724,0.033,0.076,0.144,0.385,0.214,0.562,60
18.0,60,11.791,23.646,23.831,11.342,23.454,0.030,0.068,0.004,0.011,0.414,0.806,0.036,0.112,0.147,0.249,0.216,0.645,60
19.0,61,11.875,23.211,24.039,11.425,23.695,0.030,0.105,0.004,0.045,0.414,0.786,0.037,0.111,0.153,0.394,0.210,0.565,61
20.0,58,11.579,22.876,23.444,11.103,23.110,0.031,0.099,0.003,0.007,0.440,0.771,0.040,0.138,0.157,0.391,0.229,0.609,58
