elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,61,2.192,13.763,17.785,0.007,0.019,0.046,0.186,0.005,0.014,2.131,17.746,2.113,17.732,0.001,0.020,0.001,0.001,61
2.0,60,2.183,13.877,14.800,0.007,0.012,0.050,0.158,0.004,0.008,2.119,14.719,2.099,14.692,0.001,0.002,0.001,0.001,60
3.0,60,2.011,14.408,14.740,0.008,0.123,0.044,0.151,0.004,0.008,1.952,14.671,1.934,14.647,0.001,0.002,0.001,0.001,60
4.0,60,2.226,14.263,14.443,0.008,0.108,0.042,0.155,0.004,0.008,2.168,14.353,2.148,14.331,0.001,0.002,0.001,0.001,60
5.0,60,2.238,14.302,14.630,0.008,0.123,0.048,0.178,0.004,0.008,2.175,14.585,2.158,14.569,0.001,0.002,0.001,0.001,60
6.0,60,1.972,14.073,14.426,0.007,0.013,0.048,0.167,0.006,0.101,1.908,14.362,1.891,14.343,0.001,0.002,0.001,0.001,60
7.0,60,2.261,14.542,15.044,0.009,0.118,0.042,0.176,0.004,0.006,2.203,14.974,2.185,14.949,0.001,0.002,0.001,0.002,60
8.0,60,2.233,14.344,14.765,0.007,0.013,0.040,0.082,0.004,0.011,2.179,14.695,2.162,14.671,0.001,0.002,0.001,0.001,60
9.0,61,1.969,14.393,15.517,0.007,0.012,0.041,0.065,0.005,0.014,1.914,15.431,1.896,15.404,0.001,0.002,0.001,0.001,61
10.0,60,2.164,13.868,14.274,0.007,0.012,0.039,0.069,0.004,0.008,2.112,14.211,2.094,14.191,0.001,0.001,0.001,0.001,60
11.1,61,2.194,14.229,14.612,0.007,0.014,0.040,0.072,0.004,0.008,2.140,14.548,2.122,14.527,0.001,0.002,0.001,0.001,61
12.1,61,1.947,14.168,14.374,0.007,0.013,0.038,0.070,0.004,0.008,1.895,14.329,1.878,14.312,0.001,0.002,0.001,0.002,61
13.1,60,2.227,14.296,14.523,0.007,0.012,0.040,0.072,0.004,0.008,2.173,14.461,2.155,14.441,0.001,0.002,0.001,0.001,60
14.1,60,2.235,14.296,14.928,0.007,0.013,0.042,0.072,0.005,0.008,2.178,14.880,2.160,14.865,0.001,0.001,0.001,0.002,60
15.1,61,1.945,14.199,14.862,0.006,0.012,0.038,0.067,0.004,0.007,1.895,14.777,1.879,14.748,0.001,0.002,0.001,0.001,61
16.1,60,2.213,14.228,14.409,0.007,0.015,0.041,0.074,0.004,0.008,2.159,14.342,2.141,14.321,0.001,0.002,0.001,0.001,60
17.1,60,1.994,14.220,14.895,0.006,0.013,0.038,0.070,0.004,0.007,1.943,14.831,1.926,14.809,0.001,0.001,0.001,0.002,60
18.1,60,2.216,14.203,14.459,0.007,0.013,0.047,0.148,0.004,0.008,2.155,14.396,2.138,14.372,0.001,0.002,0.001,0.002,60
19.1,60,2.237,14.182,14.593,0.012,0.122,0.045,0.155,0.004,0.008,2.174,14.543,2.157,14.526,0.001,0.002,0.001,0.001,60
20.0,55,2.181,14.199,14.901,0.007,0.012,0.044,0.147,0.008,0.108,2.120,14.840,2.103,14.820,0.001,0.001,0.001,0.001,55
