elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,3.232,22.746,26.646,0.010,0.172,0.043,0.133,0.004,0.010,3.172,26.614,3.154,26.600,0.001,0.002,0.001,0.001,60
2.0,59,3.524,22.638,23.301,0.009,0.118,0.041,0.142,0.004,0.007,3.466,23.264,3.449,23.247,0.001,0.002,0.001,0.001,59
3.0,62,2.981,22.303,22.727,0.008,0.113,0.038,0.133,0.004,0.028,2.927,22.586,2.910,22.576,0.001,0.001,0.001,0.001,62
4.0,60,3.441,22.487,22.941,0.012,0.121,0.039,0.133,0.004,0.008,3.384,22.904,3.367,22.888,0.001,0.002,0.001,0.001,60
5.0,60,3.045,22.279,22.779,0.007,0.039,0.035,0.119,0.004,0.007,2.996,22.712,2.979,22.688,0.000,0.002,0.001,0.001,60
6.0,60,3.474,22.643,23.121,0.007,0.012,0.034,0.064,0.004,0.007,3.427,23.059,3.410,23.035,0.001,0.002,0.001,0.002,60
7.0,60,3.438,22.379,22.440,0.007,0.015,0.036,0.071,0.004,0.008,3.389,22.404,3.372,22.391,0.001,0.001,0.001,0.001,60
8.1,62,3.059,22.622,24.403,0.007,0.012,0.035,0.070,0.004,0.007,3.010,24.356,2.993,24.338,0.001,0.002,0.001,0.001,62
9.1,60,3.429,22.352,22.793,0.006,0.012,0.033,0.066,0.004,0.008,3.384,22.756,3.368,22.741,0.000,0.002,0.001,0.002,60
10.1,60,3.101,22.315,24.992,0.007,0.017,0.037,0.068,0.004,0.007,3.051,24.955,3.034,24.939,0.001,0.002,0.001,0.002,60
11.1,60,3.447,22.453,22.683,0.007,0.013,0.037,0.069,0.004,0.010,3.396,22.636,3.378,22.618,0.001,0.002,0.001,0.002,60
12.1,59,3.489,22.337,22.937,0.007,0.013,0.035,0.069,0.004,0.007,3.441,22.876,3.424,22.854,0.000,0.001,0.001,0.001,59
13.1,62,3.000,22.276,23.362,0.006,0.014,0.039,0.137,0.004,0.008,2.949,23.329,2.933,23.315,0.000,0.001,0.001,0.001,62
14.1,60,3.445,22.379,24.040,0.010,0.126,0.041,0.254,0.004,0.014,3.387,23.778,3.371,23.767,0.000,0.001,0.001,0.001,60
15.1,60,3.059,22.409,22.598,0.006,0.013,0.036,0.118,0.004,0.010,3.008,22.538,2.992,22.528,0.000,0.001,0.001,0.001,60
16.1,60,3.464,22.706,23.245,0.008,0.114,0.041,0.132,0.004,0.008,3.409,23.108,3.394,23.090,0.000,0.002,0.001,0.002,60
17.1,60,3.467,22.560,22.824,0.014,0.137,0.037,0.126,0.004,0.034,3.409,22.782,3.392,22.767,0.000,0.001,0.001,0.001,60
18.1,62,2.952,22.049,22.702,0.008,0.113,0.037,0.124,0.006,0.108,2.899,22.569,2.882,22.555,0.000,0.002,0.001,0.002,62
19.1,60,3.448,22.695,23.072,0.008,0.111,0.042,0.132,0.004,0.008,3.390,23.012,3.372,22.989,0.001,0.003,0.001,0.001,60
20.0,54,3.465,22.838,23.198,0.017,0.149,0.036,0.128,0.004,0.006,3.405,23.149,3.389,23.126,0.000,0.002,0.001,0.002,54
