elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,5.965,11.461,11.697,5.419,11.375,0.035,0.070,0.003,0.011,0.505,0.845,0.052,0.073,0.206,0.264,0.232,0.554,60
2.0,60,6.093,11.999,12.169,5.533,11.795,0.037,0.072,0.003,0.007,0.517,0.899,0.051,0.070,0.206,0.264,0.245,0.601,60
3.0,60,6.294,12.380,14.940,5.728,14.332,0.036,0.071,0.004,0.008,0.524,0.903,0.054,0.160,0.210,0.345,0.245,0.607,60
4.0,60,6.236,12.130,12.401,5.679,12.034,0.035,0.074,0.004,0.009,0.516,0.986,0.052,0.071,0.212,0.319,0.237,0.588,60
5.0,60,6.364,12.603,13.057,5.807,12.649,0.035,0.068,0.003,0.008,0.516,0.839,0.052,0.100,0.210,0.341,0.238,0.579,60
6.0,61,6.280,12.900,13.559,5.701,13.172,0.036,0.073,0.003,0.007,0.537,1.021,0.053,0.072,0.214,0.308,0.254,0.700,61
7.0,60,6.216,12.063,12.329,5.678,11.964,0.031,0.078,0.003,0.006,0.502,0.888,0.051,0.075,0.202,0.278,0.234,0.639,60
8.0,60,6.207,12.016,12.404,5.666,12.033,0.033,0.076,0.003,0.007,0.503,0.860,0.051,0.070,0.201,0.262,0.237,0.571,60
9.0,60,6.165,11.909,12.167,5.634,11.811,0.033,0.071,0.003,0.008,0.493,0.816,0.050,0.070,0.205,0.259,0.224,0.582,60
10.0,60,6.217,12.013,12.730,5.665,12.397,0.034,0.074,0.003,0.007,0.512,0.855,0.052,0.072,0.201,0.230,0.244,0.584,60
11.0,60,6.229,11.996,12.560,5.690,12.183,0.033,0.071,0.003,0.007,0.501,0.826,0.051,0.072,0.201,0.255,0.235,0.573,60
12.0,60,6.215,12.000,12.341,5.673,11.945,0.035,0.072,0.003,0.010,0.501,0.977,0.051,0.070,0.202,0.288,0.234,0.671,60
13.0,60,6.195,11.931,12.762,5.653,12.388,0.034,0.071,0.003,0.007,0.502,0.870,0.053,0.116,0.202,0.266,0.233,0.541,60
14.0,60,6.199,12.000,12.598,5.668,12.227,0.032,0.072,0.003,0.007,0.493,0.843,0.050,0.072,0.202,0.331,0.228,0.597,60
15.0,60,6.207,12.183,12.553,5.673,12.208,0.032,0.070,0.003,0.007,0.497,0.885,0.052,0.096,0.206,0.335,0.225,0.614,60
16.0,60,6.252,12.178,12.273,5.707,11.904,0.032,0.073,0.003,0.007,0.507,0.826,0.053,0.119,0.203,0.271,0.237,0.551,60
17.1,61,6.431,12.338,13.335,5.881,12.874,0.036,0.067,0.003,0.009,0.508,0.812,0.053,0.114,0.206,0.315,0.234,0.561,61
18.1,60,6.325,12.433,12.656,5.778,12.282,0.031,0.059,0.003,0.006,0.510,0.908,0.051,0.072,0.207,0.399,0.239,0.643,60
19.1,60,6.237,12.212,12.557,5.695,12.185,0.032,0.069,0.003,0.008,0.505,0.862,0.051,0.072,0.204,0.266,0.235,0.591,60
20.0,58,6.272,12.177,12.669,5.737,12.295,0.032,0.072,0.003,0.006,0.497,0.835,0.051,0.089,0.201,0.264,0.231,0.549,58
