elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,61,0.175,0.214,1.712,0.011,0.141,0.042,0.067,0.004,0.008,0.115,1.652,0.096,1.633,0.000,0.001,0.001,0.002,61
2.0,60,0.147,0.232,0.271,0.008,0.014,0.042,0.089,0.004,0.013,0.090,0.185,0.071,0.164,0.000,0.001,0.001,0.001,60
3.0,60,0.152,0.233,0.270,0.008,0.014,0.046,0.201,0.004,0.008,0.091,0.152,0.073,0.127,0.000,0.001,0.001,0.002,60
4.0,60,0.141,0.234,0.268,0.007,0.015,0.041,0.145,0.004,0.008,0.087,0.190,0.070,0.166,0.000,0.001,0.001,0.001,60
5.0,60,0.153,0.220,0.421,0.011,0.239,0.043,0.143,0.004,0.007,0.092,0.165,0.074,0.140,0.000,0.001,0.001,0.001,60
6.0,60,0.157,0.222,0.325,0.008,0.015,0.042,0.076,0.004,0.008,0.098,0.174,0.077,0.139,0.000,0.001,0.001,0.002,60
7.0,60,0.155,0.257,0.278,0.009,0.093,0.042,0.115,0.004,0.010,0.096,0.195,0.078,0.172,0.000,0.001,0.001,0.001,60
8.0,60,0.146,0.209,0.224,0.008,0.022,0.041,0.073,0.004,0.008,0.090,0.134,0.072,0.105,0.000,0.001,0.001,0.002,60
9.0,60,0.158,0.211,0.230,0.009,0.014,0.047,0.074,0.005,0.008,0.094,0.136,0.075,0.107,0.000,0.001,0.001,0.001,60
10.0,60,0.164,0.227,0.263,0.009,0.014,0.047,0.077,0.005,0.013,0.101,0.168,0.081,0.137,0.001,0.001,0.001,0.002,60
11.0,60,0.142,0.198,0.232,0.007,0.014,0.040,0.070,0.004,0.008,0.088,0.137,0.071,0.109,0.000,0.001,0.001,0.001,60
12.0,60,0.149,0.199,0.242,0.008,0.013,0.042,0.069,0.004,0.007,0.093,0.163,0.074,0.137,0.000,0.001,0.001,0.001,60
13.0,60,0.153,0.230,0.252,0.008,0.015,0.043,0.071,0.004,0.007,0.095,0.188,0.076,0.164,0.000,0.001,0.001,0.002,60
14.0,60,0.147,0.224,0.235,0.008,0.014,0.042,0.071,0.004,0.008,0.091,0.152,0.073,0.129,0.000,0.001,0.001,0.002,60
15.0,60,0.151,0.227,0.247,0.008,0.016,0.043,0.149,0.005,0.038,0.092,0.176,0.074,0.149,0.000,0.001,0.001,0.002,60
16.0,60,0.152,0.230,0.238,0.008,0.014,0.043,0.073,0.005,0.009,0.093,0.140,0.075,0.111,0.000,0.001,0.001,0.002,60
17.0,60,0.156,0.207,0.230,0.008,0.012,0.044,0.069,0.005,0.007,0.096,0.136,0.077,0.107,0.000,0.001,0.001,0.002,60
18.0,60,0.152,0.231,0.312,0.008,0.013,0.042,0.112,0.004,0.010,0.095,0.208,0.077,0.176,0.000,0.001,0.001,0.002,60
19.0,60,0.151,0.209,0.233,0.008,0.013,0.041,0.070,0.004,0.008,0.095,0.156,0.075,0.110,0.000,0.001,0.001,0.007,60
20.0,59,0.148,0.235,0.260,0.009,0.120,0.043,0.160,0.004,0.007,0.089,0.140,0.071,0.112,0.000,0.001,0.002,0.045,59
