elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,33,24.609,45.562,46.508,21.549,46.078,0.046,0.154,0.005,0.011,3.006,25.006,0.631,10.617,1.457,17.869,0.900,19.075,33
2.1,38,20.250,42.639,43.134,19.458,42.023,0.036,0.090,0.004,0.009,0.750,1.419,0.087,0.993,0.388,1.350,0.260,0.702,38
3.1,41,18.836,38.311,41.052,18.292,40.637,0.033,0.059,0.003,0.007,0.505,0.816,0.057,0.123,0.222,0.320,0.211,0.490,41
4.1,37,20.649,40.751,47.794,20.063,47.300,0.037,0.068,0.004,0.009,0.543,1.068,0.059,0.143,0.238,0.331,0.230,0.658,37
5.1,36,20.742,42.119,43.150,20.148,42.734,0.037,0.107,0.004,0.008,0.552,0.834,0.057,0.121,0.251,0.613,0.228,0.526,36
6.1,38,20.643,41.304,41.767,20.053,41.440,0.034,0.060,0.005,0.069,0.549,0.968,0.057,0.114,0.235,0.532,0.241,0.639,38
7.1,38,20.605,41.054,41.449,20.013,41.086,0.033,0.060,0.004,0.009,0.554,0.947,0.054,0.111,0.238,0.327,0.247,0.696,38
8.1,39,19.917,40.564,41.491,19.326,41.068,0.033,0.083,0.003,0.006,0.554,1.083,0.058,0.121,0.235,0.461,0.246,0.629,39
9.2,39,20.567,39.955,40.083,19.993,39.738,0.032,0.073,0.004,0.009,0.537,1.054,0.064,0.202,0.236,0.428,0.222,0.650,39
10.2,40,20.093,40.363,40.479,19.548,40.054,0.031,0.055,0.003,0.006,0.509,0.747,0.056,0.127,0.233,0.572,0.206,0.495,40
11.2,38,20.336,40.635,42.124,19.761,41.780,0.033,0.056,0.004,0.006,0.537,0.979,0.055,0.120,0.233,0.331,0.235,0.690,38
12.2,38,20.452,41.424,41.982,19.887,41.609,0.033,0.098,0.004,0.008,0.526,0.835,0.061,0.120,0.231,0.520,0.219,0.580,38
13.3,39,19.846,41.043,41.477,19.262,41.122,0.036,0.111,0.004,0.032,0.541,0.848,0.058,0.122,0.240,0.528,0.229,0.513,39
14.3,37,20.999,41.244,41.586,20.409,41.100,0.034,0.053,0.004,0.006,0.550,0.995,0.059,0.118,0.249,0.582,0.227,0.650,37
15.3,38,20.341,40.452,41.207,19.758,40.616,0.033,0.054,0.007,0.153,0.540,0.886,0.059,0.142,0.237,0.377,0.226,0.511,38
16.3,38,20.286,40.871,41.179,19.719,40.703,0.032,0.053,0.003,0.006,0.529,0.796,0.059,0.132,0.233,0.334,0.224,0.526,38
17.3,40,20.187,40.317,40.895,19.635,40.464,0.030,0.068,0.003,0.006,0.516,0.920,0.064,0.204,0.226,0.472,0.213,0.641,40
18.4,40,20.070,40.067,40.313,19.518,39.891,0.031,0.067,0.003,0.006,0.516,0.794,0.063,0.121,0.229,0.326,0.211,0.497,40
19.4,40,20.273,40.519,40.981,19.703,40.634,0.031,0.046,0.004,0.006,0.533,0.936,0.058,0.160,0.234,0.309,0.226,0.620,40
20.4,39,19.753,40.906,41.013,19.172,40.633,0.033,0.103,0.004,0.026,0.542,0.878,0.059,0.122,0.235,0.569,0.234,0.534,39
21.4,37,20.846,40.544,41.424,20.253,40.955,0.033,0.055,0.004,0.006,0.554,0.906,0.059,0.126,0.246,0.542,0.234,0.627,37
22.5,40,20.116,40.410,40.793,19.537,40.340,0.031,0.055,0.003,0.006,0.543,0.936,0.065,0.190,0.235,0.417,0.229,0.587,40
23.5,38,21.085,43.873,45.887,20.485,45.404,0.039,0.177,0.004,0.011,0.555,0.908,0.059,0.112,0.245,0.419,0.236,0.592,38
24.5,38,21.122,42.097,42.833,20.522,42.366,0.035,0.071,0.004,0.007,0.558,0.833,0.062,0.127,0.250,0.624,0.232,0.535,38
25.6,38,20.980,42.045,42.149,20.402,41.703,0.033,0.079,0.004,0.006,0.541,0.901,0.057,0.167,0.235,0.479,0.233,0.615,38
26.6,36,21.119,41.873,42.442,20.548,42.062,0.032,0.053,0.003,0.006,0.533,0.844,0.054,0.123,0.231,0.341,0.234,0.569,36
27.6,38,21.103,42.032,42.463,20.504,42.003,0.038,0.185,0.003,0.006,0.556,1.053,0.059,0.136,0.241,0.377,0.242,0.616,38
28.6,38,21.186,42.790,43.111,20.591,42.588,0.033,0.050,0.005,0.044,0.556,0.951,0.058,0.103,0.247,0.538,0.236,0.621,38
29.7,38,21.068,41.985,42.164,20.464,41.825,0.036,0.078,0.004,0.006,0.563,1.108,0.058,0.122,0.247,0.528,0.242,0.632,38
30.7,38,21.062,41.961,42.917,20.484,42.489,0.031,0.049,0.003,0.007,0.541,0.903,0.055,0.128,0.242,0.513,0.231,0.544,38
31.7,36,20.903,42.141,42.590,20.319,42.244,0.033,0.051,0.004,0.006,0.546,1.031,0.056,0.125,0.232,0.321,0.243,0.746,36
32.2,19,19.404,40.881,41.247,18.813,40.636,0.033,0.059,0.004,0.008,0.553,0.875,0.055,0.116,0.235,0.418,0.248,0.605,19
