elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,40,17.419,35.486,37.115,16.855,36.767,0.040,0.082,0.004,0.010,0.518,0.850,0.056,0.102,0.221,0.316,0.225,0.596,40
2.0,40,17.272,34.935,35.767,16.702,35.392,0.040,0.128,0.004,0.008,0.524,0.889,0.058,0.098,0.218,0.320,0.231,0.537,40
3.1,41,16.525,34.335,34.730,16.012,34.443,0.033,0.077,0.003,0.008,0.474,0.883,0.052,0.084,0.205,0.286,0.203,0.511,41
4.1,39,17.583,34.809,35.000,17.032,34.529,0.039,0.077,0.004,0.009,0.505,0.851,0.056,0.080,0.217,0.298,0.216,0.530,39
5.1,38,18.185,37.522,39.327,17.566,38.925,0.051,0.084,0.005,0.009,0.559,0.891,0.061,0.092,0.234,0.313,0.243,0.573,38
6.1,40,17.090,34.345,36.923,16.522,36.542,0.036,0.073,0.004,0.007,0.525,0.834,0.057,0.125,0.220,0.283,0.231,0.563,40
7.1,41,16.631,34.117,34.318,16.110,33.948,0.032,0.070,0.003,0.008,0.484,0.960,0.054,0.103,0.210,0.449,0.205,0.540,41
8.1,41,17.244,34.054,35.189,16.745,34.903,0.033,0.073,0.003,0.009,0.461,0.740,0.051,0.101,0.201,0.257,0.194,0.500,41
9.1,40,17.072,34.523,34.598,16.573,34.263,0.029,0.083,0.003,0.007,0.465,0.862,0.054,0.193,0.209,0.415,0.189,0.548,40
10.2,40,17.200,34.622,35.460,16.643,35.059,0.034,0.077,0.003,0.008,0.518,0.852,0.054,0.107,0.223,0.452,0.226,0.585,40
11.2,41,16.557,34.191,34.967,16.039,34.675,0.030,0.067,0.003,0.008,0.482,0.844,0.053,0.118,0.208,0.355,0.206,0.565,41
12.2,41,17.348,34.289,34.651,16.828,34.351,0.031,0.071,0.003,0.007,0.484,0.847,0.054,0.079,0.220,0.513,0.196,0.544,41
13.2,41,16.541,34.243,34.977,16.027,34.567,0.032,0.077,0.003,0.009,0.477,0.775,0.051,0.080,0.206,0.301,0.206,0.519,41
14.2,41,17.279,33.937,34.624,16.771,34.286,0.032,0.078,0.003,0.007,0.470,0.776,0.053,0.113,0.206,0.311,0.197,0.504,41
15.2,40,17.111,34.473,34.896,16.591,34.596,0.034,0.075,0.004,0.026,0.481,0.827,0.050,0.072,0.204,0.245,0.211,0.548,40
16.2,41,16.466,34.071,34.957,15.957,34.626,0.031,0.078,0.003,0.007,0.472,0.785,0.051,0.096,0.202,0.285,0.205,0.558,41
17.2,40,17.044,34.703,35.764,16.525,35.406,0.031,0.076,0.003,0.008,0.482,0.754,0.051,0.073,0.208,0.333,0.209,0.524,40
18.3,41,17.254,33.967,34.441,16.722,34.000,0.037,0.078,0.004,0.009,0.489,0.879,0.053,0.074,0.210,0.291,0.210,0.539,41
19.3,41,16.530,34.469,35.079,16.014,34.702,0.031,0.075,0.003,0.008,0.479,0.780,0.051,0.072,0.206,0.350,0.207,0.523,41
20.3,40,17.058,34.841,35.134,16.519,34.813,0.034,0.079,0.003,0.009,0.499,0.797,0.053,0.078,0.217,0.522,0.214,0.566,40
21.3,41,17.305,34.512,35.368,16.789,34.942,0.033,0.073,0.003,0.010,0.478,0.768,0.055,0.121,0.206,0.300,0.203,0.512,41
22.3,40,17.039,34.680,37.024,16.497,36.638,0.034,0.079,0.003,0.010,0.503,0.906,0.054,0.100,0.212,0.383,0.222,0.575,40
23.3,41,16.579,34.878,35.701,16.045,35.262,0.032,0.069,0.004,0.011,0.495,0.807,0.056,0.136,0.206,0.270,0.218,0.553,41
24.3,37,19.281,43.039,44.087,18.694,43.665,0.042,0.086,0.004,0.009,0.537,0.939,0.056,0.082,0.237,0.363,0.222,0.572,37
25.3,39,17.503,36.046,37.319,16.976,37.016,0.032,0.064,0.003,0.008,0.490,0.903,0.051,0.080,0.204,0.282,0.221,0.613,39
26.4,39,18.060,35.695,36.162,17.556,35.769,0.028,0.068,0.003,0.007,0.470,0.887,0.054,0.165,0.207,0.384,0.196,0.633,39
27.4,40,17.760,35.889,36.194,17.255,35.893,0.030,0.057,0.003,0.007,0.470,0.790,0.050,0.068,0.204,0.282,0.202,0.529,40
28.4,40,17.721,35.409,36.424,17.220,35.969,0.029,0.075,0.003,0.006,0.468,0.768,0.051,0.121,0.203,0.276,0.201,0.534,40
29.5,40,17.861,37.317,37.771,17.359,37.368,0.027,0.062,0.003,0.008,0.470,0.833,0.050,0.081,0.208,0.303,0.199,0.604,40
30.4,36,17.905,36.080,36.744,17.396,36.373,0.029,0.069,0.003,0.007,0.475,0.755,0.049,0.068,0.212,0.353,0.200,0.507,36
