elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,61,0.150,0.221,0.285,0.008,0.022,0.043,0.145,0.004,0.011,0.091,0.184,0.074,0.171,0.000,0.001,0.000,0.001,61
2.0,60,0.161,0.233,0.319,0.009,0.016,0.047,0.131,0.005,0.027,0.098,0.245,0.078,0.194,0.001,0.001,0.001,0.001,60
3.0,60,0.157,0.233,0.315,0.009,0.015,0.048,0.212,0.005,0.032,0.093,0.214,0.074,0.191,0.001,0.001,0.001,0.001,60
4.0,60,0.156,0.228,0.294,0.008,0.017,0.046,0.170,0.005,0.042,0.094,0.145,0.076,0.125,0.000,0.001,0.001,0.001,60
5.0,60,0.156,0.196,0.264,0.008,0.016,0.045,0.137,0.005,0.010,0.095,0.159,0.077,0.129,0.000,0.001,0.001,0.001,60
6.0,60,0.155,0.200,0.296,0.008,0.016,0.044,0.142,0.004,0.010,0.095,0.189,0.077,0.157,0.000,0.001,0.001,0.001,60
7.0,60,0.159,0.222,0.238,0.009,0.038,0.045,0.073,0.004,0.007,0.098,0.139,0.079,0.110,0.000,0.001,0.001,0.001,60
8.0,60,0.158,0.200,0.233,0.008,0.015,0.044,0.071,0.004,0.007,0.098,0.135,0.079,0.107,0.001,0.001,0.001,0.001,60
9.0,60,0.153,0.215,0.247,0.008,0.014,0.043,0.070,0.004,0.007,0.095,0.187,0.077,0.166,0.001,0.001,0.001,0.001,60
10.0,60,0.169,0.236,0.317,0.009,0.015,0.047,0.111,0.005,0.008,0.105,0.184,0.085,0.162,0.001,0.001,0.001,0.001,60
11.0,60,0.154,0.199,0.253,0.008,0.016,0.042,0.073,0.004,0.007,0.097,0.207,0.079,0.190,0.001,0.001,0.001,0.001,60
12.0,60,0.165,0.202,0.239,0.009,0.015,0.046,0.073,0.005,0.008,0.103,0.140,0.084,0.111,0.001,0.001,0.001,0.001,60
13.0,60,0.162,0.202,0.237,0.009,0.015,0.044,0.073,0.005,0.008,0.102,0.139,0.082,0.110,0.001,0.001,0.001,0.001,60
14.0,60,0.161,0.224,0.238,0.008,0.015,0.044,0.071,0.005,0.010,0.101,0.153,0.082,0.124,0.001,0.001,0.001,0.001,60
15.0,60,0.153,0.197,0.237,0.008,0.014,0.043,0.073,0.004,0.007,0.095,0.139,0.076,0.110,0.000,0.001,0.001,0.001,60
16.0,60,0.161,0.223,0.235,0.009,0.014,0.045,0.071,0.005,0.007,0.100,0.137,0.081,0.109,0.001,0.001,0.001,0.001,60
17.0,60,0.168,0.226,0.261,0.009,0.016,0.048,0.072,0.005,0.007,0.104,0.191,0.084,0.169,0.001,0.001,0.001,0.001,60
18.0,60,0.151,0.208,0.239,0.008,0.016,0.043,0.130,0.004,0.008,0.093,0.139,0.075,0.110,0.001,0.001,0.001,0.001,60
19.0,60,0.171,0.231,0.297,0.009,0.016,0.047,0.152,0.005,0.007,0.108,0.224,0.089,0.198,0.001,0.001,0.001,0.001,60
20.0,59,0.163,0.219,0.235,0.008,0.015,0.045,0.072,0.005,0.007,0.102,0.162,0.083,0.140,0.001,0.001,0.001,0.001,59
