elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.169,0.263,0.351,0.010,0.126,0.054,0.175,0.005,0.009,0.097,0.241,0.077,0.207,0.001,0.002,0.001,0.001,60
2.0,60,0.155,0.237,0.271,0.008,0.013,0.043,0.070,0.005,0.009,0.097,0.200,0.078,0.175,0.001,0.029,0.001,0.001,60
3.0,60,0.153,0.236,0.263,0.007,0.014,0.043,0.142,0.005,0.008,0.095,0.218,0.075,0.153,0.001,0.001,0.001,0.001,60
4.0,60,0.160,0.248,0.291,0.010,0.108,0.049,0.171,0.005,0.009,0.091,0.149,0.073,0.133,0.001,0.001,0.001,0.001,60
5.0,60,0.157,0.220,0.345,0.009,0.016,0.049,0.161,0.005,0.010,0.091,0.164,0.071,0.137,0.001,0.001,0.001,0.001,60
6.0,60,0.160,0.227,0.245,0.008,0.015,0.049,0.142,0.007,0.110,0.093,0.140,0.074,0.121,0.001,0.001,0.001,0.001,60
7.0,60,0.161,0.232,0.292,0.010,0.125,0.046,0.142,0.005,0.008,0.098,0.158,0.079,0.141,0.001,0.001,0.001,0.001,60
8.0,60,0.150,0.213,0.241,0.008,0.013,0.043,0.073,0.005,0.008,0.092,0.144,0.074,0.114,0.001,0.001,0.001,0.001,60
9.0,60,0.153,0.230,0.321,0.008,0.013,0.043,0.095,0.005,0.011,0.095,0.219,0.077,0.168,0.001,0.002,0.001,0.001,60
10.0,60,0.151,0.205,0.243,0.008,0.014,0.043,0.074,0.005,0.017,0.093,0.143,0.076,0.114,0.001,0.001,0.001,0.002,60
11.0,60,0.155,0.236,0.245,0.008,0.015,0.044,0.075,0.005,0.008,0.096,0.142,0.078,0.113,0.001,0.001,0.001,0.001,60
12.0,60,0.163,0.234,0.270,0.008,0.016,0.046,0.078,0.005,0.011,0.101,0.175,0.081,0.151,0.001,0.002,0.001,0.001,60
13.0,60,0.157,0.216,0.314,0.008,0.013,0.044,0.070,0.005,0.008,0.097,0.232,0.079,0.204,0.001,0.001,0.001,0.001,60
14.0,60,0.161,0.232,0.278,0.008,0.013,0.045,0.070,0.005,0.008,0.101,0.201,0.081,0.174,0.001,0.001,0.001,0.001,60
15.0,60,0.151,0.202,0.249,0.007,0.016,0.042,0.076,0.005,0.008,0.094,0.145,0.077,0.114,0.001,0.001,0.001,0.001,60
16.0,60,0.157,0.224,0.270,0.008,0.014,0.044,0.075,0.005,0.008,0.098,0.176,0.079,0.148,0.001,0.001,0.001,0.001,60
17.0,60,0.152,0.230,0.282,0.007,0.014,0.042,0.073,0.005,0.009,0.095,0.186,0.077,0.165,0.001,0.001,0.001,0.001,60
18.0,60,0.166,0.241,0.251,0.008,0.014,0.047,0.078,0.005,0.008,0.103,0.181,0.083,0.157,0.001,0.001,0.001,0.002,60
19.0,60,0.151,0.223,0.236,0.008,0.013,0.043,0.071,0.005,0.008,0.093,0.141,0.075,0.111,0.001,0.010,0.001,0.001,60
20.0,60,0.168,0.237,0.495,0.012,0.147,0.048,0.150,0.005,0.009,0.100,0.416,0.081,0.391,0.001,0.001,0.001,0.001,60
