elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.685,1.046,1.199,0.034,0.105,0.040,0.071,0.004,0.007,0.604,1.124,0.071,0.166,0.297,0.453,0.219,0.625,60
2.0,60,0.682,1.044,1.119,0.034,0.093,0.042,0.072,0.004,0.008,0.599,1.022,0.075,0.111,0.294,0.430,0.211,0.525,60
3.0,60,0.670,1.088,1.179,0.035,0.098,0.041,0.072,0.004,0.008,0.588,1.083,0.070,0.110,0.282,0.448,0.219,0.549,60
4.0,60,0.679,1.087,1.201,0.034,0.105,0.042,0.074,0.005,0.015,0.595,1.126,0.074,0.138,0.291,0.488,0.213,0.586,60
5.0,60,0.702,1.128,1.188,0.034,0.092,0.041,0.065,0.005,0.007,0.619,1.129,0.077,0.128,0.311,0.542,0.212,0.519,60
6.0,60,0.701,1.060,1.104,0.035,0.097,0.041,0.067,0.004,0.008,0.618,1.041,0.077,0.159,0.311,0.450,0.212,0.518,60
7.0,60,0.677,1.041,1.096,0.034,0.088,0.040,0.077,0.004,0.008,0.596,1.005,0.074,0.194,0.294,0.482,0.210,0.553,60
8.0,60,0.692,1.111,1.156,0.033,0.090,0.040,0.073,0.004,0.008,0.612,1.073,0.075,0.142,0.305,0.454,0.214,0.537,60
9.0,60,0.694,1.115,1.165,0.037,0.165,0.040,0.080,0.004,0.010,0.609,1.078,0.073,0.134,0.306,0.450,0.213,0.514,60
10.0,60,0.680,1.089,1.189,0.032,0.095,0.039,0.065,0.004,0.008,0.600,1.102,0.073,0.169,0.295,0.443,0.214,0.546,60
11.0,60,0.700,1.050,1.177,0.035,0.099,0.043,0.152,0.004,0.007,0.615,1.092,0.072,0.107,0.308,0.512,0.218,0.530,60
12.0,60,0.662,1.037,1.146,0.034,0.154,0.037,0.065,0.004,0.007,0.585,1.064,0.064,0.108,0.290,0.471,0.215,0.551,60
13.0,60,0.688,1.057,1.110,0.036,0.164,0.041,0.133,0.004,0.008,0.605,1.049,0.071,0.121,0.296,0.423,0.220,0.607,60
14.0,60,0.672,0.975,1.197,0.033,0.147,0.040,0.099,0.004,0.008,0.593,1.098,0.070,0.122,0.298,0.460,0.209,0.518,60
15.0,60,0.676,1.023,1.119,0.035,0.145,0.040,0.131,0.004,0.009,0.594,1.039,0.072,0.104,0.296,0.494,0.209,0.535,60
16.0,60,0.674,1.039,1.164,0.034,0.090,0.040,0.074,0.004,0.008,0.593,1.083,0.070,0.110,0.290,0.434,0.216,0.583,60
17.0,60,0.693,1.088,1.166,0.035,0.090,0.041,0.070,0.004,0.008,0.610,1.108,0.077,0.171,0.307,0.514,0.208,0.516,60
18.0,60,0.720,1.100,1.113,0.036,0.105,0.044,0.072,0.005,0.007,0.633,1.042,0.078,0.109,0.319,0.551,0.218,0.508,60
19.0,60,0.679,1.061,1.161,0.034,0.080,0.040,0.074,0.004,0.008,0.598,1.073,0.074,0.150,0.302,0.512,0.204,0.562,60
20.0,60,0.709,1.062,1.256,0.036,0.098,0.041,0.072,0.004,0.008,0.624,1.157,0.076,0.118,0.315,0.465,0.215,0.551,60
