elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.050,0.102,0.227,0.005,0.008,0.043,0.220,0.001,0.002,0.001,0.001,,,,,,,60
2.0,60,0.045,0.097,0.245,0.004,0.008,0.037,0.239,0.001,0.050,0.000,0.001,,,,,,,60
3.0,60,0.049,0.156,0.169,0.006,0.131,0.040,0.162,0.001,0.005,0.000,0.001,,,,,,,60
4.0,43,6.194,23.120,132.119,4.567,131.551,0.537,21.142,0.003,0.058,1.085,36.696,1.456,7.190,6.174,35.978,0.124,0.274,43
5.0,56,2.162,2.191,39.487,0.644,33.695,0.363,16.506,0.007,0.089,1.145,17.229,0.582,16.696,0.370,5.544,0.174,0.616,56
6.0,59,3.398,21.586,25.617,0.034,0.221,0.576,11.537,0.005,0.014,2.782,22.507,0.317,5.721,1.707,21.860,0.740,20.395,59
7.1,58,2.417,7.766,29.130,0.075,1.068,0.187,5.070,0.005,0.012,2.147,29.017,0.398,10.590,1.314,27.954,0.416,7.334,58
8.1,61,2.492,11.757,42.429,0.030,0.086,0.401,21.946,0.003,0.009,2.055,20.397,0.863,20.071,0.766,18.145,0.409,7.659,61
9.1,55,1.635,5.873,6.561,0.039,0.101,0.317,5.261,0.006,0.021,1.270,6.413,0.443,5.469,0.442,5.485,0.363,2.782,55
10.1,60,3.280,20.825,23.581,0.036,0.125,0.607,12.959,0.005,0.011,2.630,23.439,1.694,22.851,0.623,10.631,0.294,0.941,60
11.1,62,1.316,5.307,10.164,0.033,0.100,0.218,5.635,0.004,0.009,1.057,9.999,0.307,9.704,0.467,5.287,0.267,0.885,62
12.2,59,1.855,11.205,20.319,0.035,0.110,0.540,13.826,0.006,0.107,1.272,11.760,0.361,10.453,0.553,10.441,0.341,6.068,59
