elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.042,0.067,0.184,0.006,0.106,0.032,0.146,0.001,0.001,0.001,0.045,,,,,,,60
2.0,60,0.047,0.099,0.220,0.008,0.189,0.035,0.201,0.001,0.001,0.001,0.048,,,,,,,60
3.0,60,0.049,0.086,0.204,0.007,0.140,0.037,0.196,0.001,0.001,0.001,0.001,,,,,,,60
4.0,47,6.001,19.422,145.134,3.207,144.294,0.283,9.957,0.008,0.153,2.501,33.858,0.805,8.528,1.684,30.674,1.054,15.995,47
5.0,52,3.843,12.691,43.311,0.104,3.262,0.438,7.696,0.007,0.062,3.292,43.147,1.727,27.782,1.006,24.610,0.538,11.998,52
6.0,54,3.723,6.023,52.607,0.417,18.671,1.386,51.891,0.032,1.279,1.885,18.684,0.653,3.732,0.678,4.069,0.535,16.134,54
7.0,56,4.461,19.532,37.197,0.034,0.094,0.903,17.973,0.046,1.353,3.476,34.184,1.603,33.643,1.141,17.055,0.713,16.622,56
8.1,60,0.908,1.675,6.295,0.120,3.820,0.050,0.151,0.004,0.012,0.733,6.203,0.186,5.038,0.318,0.716,0.214,0.939,60
9.1,60,0.560,0.789,0.903,0.037,0.150,0.045,0.130,0.002,0.005,0.472,0.836,0.080,0.165,0.238,0.414,0.143,0.428,60
10.1,60,0.569,0.844,0.878,0.034,0.142,0.051,0.152,0.002,0.004,0.479,0.810,0.086,0.180,0.237,0.394,0.140,0.362,60
11.1,60,0.581,0.827,0.954,0.044,0.169,0.049,0.133,0.004,0.093,0.481,0.860,0.093,0.236,0.234,0.404,0.142,0.425,60
12.1,60,0.579,0.795,0.897,0.041,0.163,0.051,0.151,0.003,0.004,0.483,0.803,0.084,0.203,0.233,0.424,0.150,0.432,60
13.1,60,0.569,0.748,0.929,0.055,0.261,0.044,0.129,0.002,0.004,0.466,0.862,0.077,0.148,0.229,0.397,0.145,0.409,60
14.1,60,0.581,0.814,0.911,0.043,0.225,0.054,0.169,0.005,0.097,0.476,0.738,0.087,0.196,0.233,0.384,0.143,0.383,60
15.1,60,0.574,0.818,0.887,0.041,0.149,0.050,0.177,0.004,0.106,0.478,0.796,0.085,0.229,0.231,0.371,0.144,0.399,60
16.1,60,0.572,0.792,0.914,0.042,0.153,0.054,0.143,0.003,0.035,0.472,0.846,0.087,0.231,0.224,0.394,0.144,0.367,60
17.1,54,0.564,0.754,0.881,0.038,0.173,0.045,0.137,0.003,0.006,0.477,0.750,0.085,0.216,0.236,0.439,0.142,0.383,54
18.1,60,0.581,0.809,0.922,0.039,0.167,0.060,0.275,0.003,0.039,0.477,0.740,0.088,0.204,0.232,0.421,0.143,0.403,60
19.1,60,0.580,0.825,0.966,0.035,0.163,0.050,0.146,0.003,0.042,0.490,0.884,0.086,0.159,0.235,0.432,0.156,0.487,60
20.1,60,0.530,0.724,0.757,0.031,0.143,0.044,0.148,0.003,0.008,0.450,0.688,0.076,0.149,0.225,0.276,0.138,0.387,60
21.1,60,0.551,0.822,0.864,0.025,0.068,0.034,0.056,0.003,0.010,0.488,0.794,0.080,0.131,0.231,0.378,0.161,0.501,60
22.1,60,0.607,0.846,0.887,0.027,0.118,0.036,0.073,0.003,0.006,0.539,0.838,0.084,0.181,0.238,0.339,0.195,0.499,60
23.1,60,0.573,0.781,0.905,0.026,0.071,0.036,0.057,0.003,0.005,0.507,0.859,0.077,0.132,0.229,0.329,0.179,0.504,60
24.1,60,0.566,0.826,1.033,0.026,0.075,0.036,0.057,0.003,0.005,0.500,0.962,0.081,0.133,0.233,0.402,0.165,0.467,60
25.1,60,0.594,0.823,1.111,0.027,0.070,0.038,0.059,0.003,0.005,0.524,1.055,0.091,0.163,0.241,0.500,0.169,0.403,60
26.1,60,0.581,0.849,0.932,0.026,0.071,0.037,0.079,0.003,0.005,0.513,0.863,0.085,0.196,0.239,0.397,0.168,0.439,60
27.1,60,0.563,0.820,0.852,0.025,0.070,0.035,0.057,0.003,0.005,0.499,0.792,0.077,0.129,0.229,0.322,0.171,0.481,60
28.1,60,0.567,0.775,1.020,0.026,0.084,0.036,0.063,0.003,0.006,0.501,0.938,0.080,0.133,0.231,0.404,0.170,0.422,60
29.1,60,0.559,0.781,0.839,0.026,0.064,0.035,0.051,0.003,0.005,0.493,0.778,0.079,0.114,0.222,0.299,0.171,0.433,60
29.9,45,0.550,0.748,0.877,0.025,0.073,0.034,0.056,0.003,0.004,0.487,0.809,0.077,0.128,0.217,0.281,0.172,0.451,45
