elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.157,0.234,0.271,0.010,0.037,0.046,0.128,0.005,0.009,0.092,0.170,0.074,0.142,0.000,0.001,0.001,0.002,60
2.0,60,0.149,0.202,0.237,0.009,0.015,0.043,0.129,0.005,0.008,0.090,0.151,0.073,0.142,0.000,0.001,0.001,0.001,60
3.0,60,0.151,0.237,0.243,0.010,0.123,0.046,0.154,0.005,0.008,0.088,0.173,0.070,0.150,0.000,0.001,0.001,0.001,60
4.0,60,0.142,0.208,0.275,0.008,0.014,0.045,0.155,0.004,0.007,0.082,0.125,0.066,0.103,0.000,0.001,0.001,0.001,60
5.0,60,0.152,0.237,0.357,0.009,0.017,0.045,0.132,0.007,0.168,0.089,0.140,0.071,0.119,0.000,0.001,0.001,0.001,60
6.0,60,0.138,0.191,0.233,0.008,0.013,0.038,0.070,0.005,0.020,0.084,0.137,0.067,0.110,0.000,0.001,0.001,0.001,60
7.0,60,0.154,0.220,0.265,0.009,0.014,0.043,0.133,0.005,0.008,0.094,0.223,0.076,0.210,0.000,0.001,0.001,0.001,60
8.0,60,0.149,0.229,0.241,0.008,0.016,0.041,0.074,0.005,0.008,0.092,0.153,0.075,0.129,0.000,0.001,0.001,0.001,60
9.0,60,0.146,0.226,0.234,0.008,0.015,0.041,0.073,0.005,0.008,0.090,0.136,0.073,0.108,0.000,0.001,0.001,0.001,60
10.0,60,0.152,0.221,0.258,0.008,0.014,0.042,0.071,0.005,0.008,0.094,0.194,0.077,0.167,0.000,0.001,0.001,0.001,60
11.0,60,0.165,0.228,0.409,0.010,0.017,0.049,0.085,0.005,0.010,0.097,0.296,0.077,0.262,0.001,0.001,0.001,0.002,60
12.0,60,0.156,0.218,0.291,0.009,0.014,0.043,0.073,0.005,0.008,0.097,0.203,0.079,0.177,0.000,0.001,0.001,0.001,60
13.0,60,0.146,0.194,0.237,0.008,0.018,0.041,0.072,0.005,0.008,0.089,0.137,0.072,0.109,0.000,0.001,0.001,0.001,60
14.0,60,0.164,0.230,0.301,0.009,0.015,0.045,0.074,0.005,0.008,0.103,0.229,0.083,0.204,0.001,0.001,0.001,0.001,60
15.0,60,0.161,0.235,0.381,0.009,0.015,0.043,0.071,0.005,0.008,0.102,0.307,0.084,0.281,0.001,0.001,0.001,0.001,60
16.0,60,0.166,0.233,0.286,0.009,0.019,0.046,0.073,0.005,0.012,0.103,0.181,0.083,0.137,0.001,0.001,0.001,0.001,60
17.0,60,0.152,0.218,0.235,0.009,0.015,0.043,0.073,0.005,0.008,0.093,0.137,0.075,0.108,0.000,0.001,0.001,0.002,60
18.0,60,0.142,0.193,0.248,0.008,0.014,0.039,0.071,0.004,0.008,0.088,0.183,0.072,0.154,0.000,0.001,0.001,0.001,60
19.0,60,0.163,0.233,0.259,0.009,0.016,0.046,0.131,0.005,0.013,0.099,0.168,0.079,0.141,0.001,0.001,0.001,0.001,60
20.0,60,0.155,0.210,0.287,0.009,0.015,0.045,0.139,0.005,0.008,0.094,0.194,0.076,0.168,0.000,0.001,0.001,0.001,60
