elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames,_on_decode_done_mean_ms,_on_decode_done_max_ms,_on_wave_done_mean_ms,_on_wave_done_max_ms,_on_wave_render_done_mean_ms,_on_wave_render_done_max_ms,_on_lufs_done_mean_ms,_on_lufs_done_max_ms,_apply_spectrum_mean_ms,_apply_spectrum_max_ms,_on_spectro_done_mean_ms,_on_spectro_done_max_ms,_on_spectro_fs_done_mean_ms,_on_spectro_fs_done_max_ms
1.0,60,0.051,0.090,0.197,0.007,0.057,0.040,0.190,0.001,0.003,0.001,0.002,,,,,,,60,,,,,,,,,,,,,,
2.0,60,0.047,0.084,0.298,0.006,0.068,0.034,0.111,0.001,0.001,0.004,0.201,,,,,,,60,,,,,,,,,,,,,,
3.0,60,0.058,0.157,0.259,0.008,0.212,0.045,0.198,0.001,0.001,0.001,0.001,,,,,,,60,,,,,,,,,,,,,,
4.0,46,7.433,35.830,136.766,3.089,136.072,0.354,13.873,0.004,0.020,3.984,44.990,6.158,39.268,1.096,16.226,0.694,7.915,46,0.090,0.090,0.999,1.472,0.213,0.331,,,0.058,0.094,,,,
5.0,61,2.826,10.785,26.544,0.041,0.140,0.197,5.508,0.009,0.138,2.577,26.408,1.016,12.185,0.946,15.846,0.596,10.499,61,0.078,0.081,,,,,,,0.054,0.112,,,,
6.0,54,3.388,6.560,42.228,0.160,5.116,1.035,36.783,0.009,0.099,2.182,39.945,1.174,39.086,0.733,3.404,0.254,1.707,54,0.066,0.066,,,,,,,0.054,0.089,1.611,4.317,,
7.0,59,3.305,18.530,33.952,0.044,0.572,1.087,32.275,0.108,4.201,2.064,18.040,0.351,7.262,1.067,17.767,0.628,9.911,59,,,,,,,0.532,0.532,0.048,0.096,,,,
8.1,57,1.944,1.650,68.528,0.070,0.910,0.081,1.966,0.004,0.011,1.787,66.469,0.124,1.890,1.459,66.180,0.188,0.717,57,,,,,,,0.545,0.835,0.046,0.144,,,0.015,0.028
9.1,60,0.573,0.892,0.974,0.035,0.155,0.044,0.133,0.005,0.101,0.486,0.904,0.076,0.128,0.226,0.386,0.171,0.497,60,,,,,,,,,0.048,0.142,,,,
10.1,60,0.588,0.882,0.975,0.041,0.240,0.047,0.178,0.004,0.048,0.494,0.935,0.076,0.128,0.229,0.368,0.177,0.597,60,,,,,,,,,0.053,0.138,,,,
11.1,60,0.581,0.846,0.961,0.039,0.194,0.041,0.146,0.003,0.006,0.494,0.887,0.082,0.225,0.236,0.372,0.164,0.465,60,,,,,,,,,0.048,0.180,,,,
12.1,60,0.583,0.911,1.016,0.033,0.148,0.043,0.152,0.004,0.033,0.500,0.936,0.076,0.148,0.230,0.372,0.180,0.556,60,,,,,,,,,0.049,0.136,,,,
13.1,60,0.593,0.845,0.937,0.046,0.253,0.039,0.145,0.004,0.092,0.500,0.867,0.084,0.162,0.242,0.448,0.159,0.444,60,,,,,,,,,0.074,0.238,,,,
14.1,60,0.596,0.858,0.923,0.037,0.184,0.047,0.159,0.003,0.005,0.508,0.849,0.092,0.217,0.250,0.394,0.153,0.443,60,,,,,,,,,0.054,0.169,,,,
15.1,60,0.587,0.844,1.114,0.043,0.211,0.045,0.141,0.003,0.011,0.494,1.040,0.087,0.154,0.242,0.434,0.152,0.510,60,,,,,,,,,0.067,0.202,,,,
16.1,60,0.573,0.826,1.020,0.044,0.174,0.040,0.164,0.003,0.039,0.483,0.941,0.085,0.191,0.234,0.409,0.153,0.390,60,,,,,,,,,0.062,0.155,,,,
17.1,60,0.682,1.048,1.090,0.048,0.158,0.044,0.162,0.004,0.039,0.584,1.051,0.083,0.194,0.281,0.535,0.193,0.574,60,,,,,,,,,0.066,0.142,,,,
18.1,60,0.612,0.915,1.145,0.030,0.149,0.041,0.155,0.003,0.006,0.536,0.977,0.085,0.235,0.243,0.512,0.186,0.508,60,,,,,,,,,0.042,0.137,,,,
