elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames,_on_decode_done_mean_ms,_on_decode_done_max_ms,_on_wave_done_mean_ms,_on_wave_done_max_ms,_on_wave_render_done_mean_ms,_on_wave_render_done_max_ms,_on_lufs_done_mean_ms,_on_lufs_done_max_ms,_apply_spectrum_mean_ms,_apply_spectrum_max_ms,_on_spectro_done_mean_ms,_on_spectro_done_max_ms,_on_spectro_fs_done_mean_ms,_on_spectro_fs_done_max_ms
19.1,60,0.580,0.896,1.056,0.027,0.083,0.036,0.063,0.003,0.006,0.513,0.977,0.082,0.140,0.236,0.396,0.174,0.426,60,,,,,,,,,0.037,0.063,,,,
20.1,60,0.576,0.790,0.965,0.027,0.088,0.034,0.062,0.003,0.005,0.510,0.886,0.080,0.172,0.238,0.392,0.171,0.438,60,,,,,,,,,0.037,0.068,,,,
21.1,60,0.615,0.979,1.072,0.029,0.082,0.041,0.074,0.004,0.011,0.538,0.974,0.079,0.176,0.233,0.364,0.202,0.581,60,,,,,,,,,0.039,0.060,,,,
22.1,60,0.591,0.854,0.995,0.028,0.074,0.037,0.060,0.003,0.006,0.521,0.932,0.084,0.157,0.240,0.463,0.176,0.463,60,,,,,,,,,0.039,0.057,,,,
23.1,60,0.574,0.785,0.890,0.027,0.073,0.036,0.062,0.003,0.005,0.506,0.829,0.081,0.178,0.229,0.364,0.174,0.418,60,,,,,,,,,0.037,0.056,,,,
24.1,60,0.558,0.767,0.998,0.027,0.077,0.036,0.074,0.003,0.010,0.490,0.926,0.081,0.163,0.236,0.424,0.159,0.457,60,,,,,,,,,0.038,0.058,,,,
25.1,60,0.530,0.775,0.885,0.024,0.069,0.033,0.061,0.003,0.006,0.469,0.820,0.079,0.129,0.228,0.384,0.150,0.421,60,,,,,,,,,0.033,0.052,,,,
26.1,60,0.557,0.858,0.962,0.026,0.078,0.037,0.058,0.003,0.006,0.489,0.888,0.083,0.163,0.244,0.419,0.150,0.461,60,,,,,,,,,0.036,0.061,,,,
27.1,60,0.536,0.762,0.972,0.026,0.070,0.034,0.056,0.003,0.014,0.471,0.901,0.079,0.132,0.235,0.465,0.145,0.423,60,,,,,,,,,0.036,0.054,,,,
28.1,59,0.606,0.942,1.060,0.030,0.075,0.041,0.070,0.004,0.011,0.529,1.008,0.085,0.272,0.235,0.401,0.194,0.692,59,,,,,,,,,0.041,0.058,,,,
29.1,61,0.630,1.018,1.081,0.031,0.085,0.041,0.075,0.004,0.009,0.551,1.012,0.082,0.139,0.244,0.469,0.202,0.518,61,,,,,,,,,0.042,0.065,,,,
30.1,60,0.573,0.828,0.862,0.028,0.084,0.036,0.060,0.003,0.010,0.504,0.805,0.081,0.135,0.234,0.392,0.170,0.440,60,,,,,,,,,0.038,0.065,,,,
31.1,60,0.533,0.808,0.938,0.025,0.069,0.034,0.062,0.003,0.018,0.469,0.869,0.080,0.177,0.228,0.402,0.148,0.404,60,,,,,,,,,0.034,0.053,,,,
32.1,60,0.577,0.843,1.003,0.027,0.076,0.035,0.057,0.003,0.013,0.510,0.931,0.086,0.228,0.232,0.303,0.173,0.473,60,,,,,,,,,0.038,0.058,,,,
33.1,60,0.635,0.878,1.108,0.036,0.168,0.046,0.284,0.003,0.008,0.549,0.864,0.093,0.257,0.248,0.604,0.183,0.483,60,,,,,,,,,0.046,0.155,,,,
34.1,60,0.606,0.842,0.976,0.041,0.243,0.046,0.140,0.006,0.101,0.511,0.909,0.091,0.222,0.243,0.460,0.158,0.508,60,,,,,,,,,0.064,0.231,,,,
35.1,60,0.583,0.786,0.874,0.038,0.206,0.046,0.141,0.003,0.037,0.492,0.750,0.096,0.221,0.232,0.361,0.149,0.411,60,,,,,,,,,0.054,0.196,,,,
36.1,60,0.564,0.791,0.912,0.040,0.261,0.048,0.125,0.003,0.012,0.469,0.844,0.085,0.174,0.230,0.395,0.142,0.362,60,,,,,,,,,0.059,0.251,,,,
37.1,60,0.569,0.807,0.918,0.036,0.169,0.051,0.155,0.003,0.006,0.472,0.849,0.081,0.189,0.234,0.397,0.145,0.423,60,,,,,,,,,0.043,0.126,,,,
38.1,60,0.589,0.916,0.942,0.043,0.162,0.043,0.149,0.003,0.006,0.498,0.873,0.099,0.245,0.237,0.423,0.145,0.393,60,,,,,,,,,0.062,0.153,,,,
39.1,60,0.562,0.771,0.952,0.043,0.178,0.042,0.136,0.003,0.007,0.473,0.915,0.085,0.171,0.227,0.418,0.148,0.402,60,,,,,,,,,0.064,0.166,,,,
40.1,54,0.582,0.775,0.867,0.044,0.167,0.047,0.193,0.003,0.007,0.484,0.779,0.093,0.213,0.237,0.355,0.142,0.394,54,,,,,,,,,0.052,0.125,,,,
41.1,60,0.585,0.773,0.911,0.040,0.176,0.049,0.158,0.003,0.004,0.489,0.859,0.087,0.185,0.246,0.450,0.143,0.449,60,,,,,,,,,0.059,0.163,,,,
41.3,8,0.609,0.715,0.857,0.026,0.075,0.047,0.141,0.003,0.005,0.531,0.823,0.108,0.177,0.271,0.403,0.141,0.368,8,,,,,,,,,0.037,0.059,,,,
