elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,60,0.047,0.136,0.220,0.006,0.123,0.038,0.214,0.001,0.001,0.001,0.003,,,,,,,60
2.0,60,0.043,0.099,0.162,0.004,0.007,0.036,0.155,0.001,0.001,0.000,0.001,,,,,,,60
3.0,60,0.052,0.159,0.221,0.007,0.131,0.042,0.215,0.001,0.001,0.001,0.002,,,,,,,60
4.0,60,0.063,0.187,0.212,0.007,0.148,0.053,0.206,0.001,0.002,0.001,0.001,,,,,,,60
5.0,60,0.052,0.064,0.584,0.005,0.007,0.044,0.575,0.001,0.001,0.001,0.001,,,,,,,60
6.0,60,0.050,0.150,0.186,0.005,0.007,0.041,0.179,0.001,0.001,0.001,0.002,,,,,,,60
7.0,60,0.054,0.159,0.248,0.006,0.066,0.045,0.242,0.001,0.001,0.001,0.002,,,,,,,60
8.0,60,0.044,0.067,0.095,0.005,0.008,0.036,0.088,0.001,0.001,0.001,0.002,,,,,,,60
9.0,60,0.050,0.095,0.221,0.007,0.140,0.039,0.150,0.001,0.002,0.001,0.052,,,,,,,60
10.0,60,0.037,0.060,0.096,0.004,0.008,0.029,0.074,0.001,0.001,0.000,0.001,,,,,,,60
11.0,60,0.061,0.171,0.266,0.005,0.011,0.049,0.260,0.005,0.135,0.001,0.002,,,,,,,60
12.0,39,8.780,29.335,152.057,6.766,151.214,0.162,4.064,0.519,19.956,1.331,25.845,2.943,25.010,2.006,16.071,0.215,0.880,39
13.0,58,1.357,3.453,32.820,0.588,32.190,0.053,0.151,0.005,0.037,0.709,6.075,0.263,5.606,0.233,0.698,0.198,2.805,58
14.0,60,2.102,12.973,18.148,0.065,0.838,0.209,5.569,0.006,0.041,1.820,18.093,0.403,10.658,1.074,17.269,0.327,3.451,60
15.0,60,0.662,1.200,1.439,0.036,0.145,0.048,0.127,0.004,0.007,0.572,1.347,0.085,0.242,0.248,0.387,0.224,0.811,60
16.1,61,0.826,3.191,4.653,0.034,0.183,0.129,3.498,0.004,0.046,0.657,4.572,0.130,3.353,0.242,0.575,0.270,4.185,61
17.1,61,0.746,1.214,2.378,0.032,0.124,0.052,0.137,0.004,0.017,0.655,2.313,0.082,0.165,0.283,0.506,0.273,1.978,61
18.1,60,0.677,1.076,1.237,0.033,0.168,0.050,0.147,0.004,0.007,0.588,1.181,0.081,0.276,0.248,0.449,0.243,0.760,60
19.1,58,0.803,1.279,5.805,0.042,0.760,0.049,0.154,0.004,0.009,0.705,5.533,0.091,0.272,0.334,5.391,0.264,1.161,58
20.1,60,0.771,1.210,2.199,0.040,0.184,0.055,0.159,0.004,0.008,0.670,2.077,0.102,0.312,0.308,1.972,0.243,0.937,60
21.1,60,0.799,1.191,4.058,0.036,0.153,0.102,3.349,0.004,0.008,0.656,3.952,0.155,3.702,0.258,0.387,0.227,0.692,60
22.1,60,0.752,1.140,3.026,0.035,0.158,0.085,1.780,0.004,0.008,0.626,1.460,0.097,0.179,0.253,0.411,0.259,0.976,60
23.1,60,1.173,1.744,14.482,0.040,0.184,0.284,6.839,0.004,0.010,0.843,14.394,0.096,0.185,0.254,0.485,0.476,13.981,60
24.1,59,0.879,1.144,7.991,0.033,0.085,0.173,7.502,0.004,0.008,0.667,4.601,0.153,3.567,0.274,2.011,0.224,0.649,59
25.1,60,0.859,1.441,4.134,0.033,0.081,0.140,3.394,0.006,0.088,0.679,4.068,0.099,0.232,0.250,0.580,0.313,3.660,60
26.1,60,0.846,1.698,4.157,0.046,0.785,0.051,0.105,0.004,0.010,0.743,4.022,0.172,3.763,0.296,2.052,0.258,1.092,60
27.2,60,0.779,1.159,6.288,0.030,0.095,0.136,5.517,0.004,0.014,0.607,1.396,0.107,0.258,0.245,0.785,0.240,0.921,60
28.2,58,0.684,1.035,1.337,0.032,0.112,0.049,0.097,0.004,0.009,0.596,1.266,0.113,0.267,0.229,0.362,0.238,0.777,58
29.2,60,0.956,1.507,7.506,0.030,0.095,0.269,6.815,0.004,0.008,0.650,3.714,0.162,3.488,0.239,0.531,0.234,0.869,60
30.2,58,0.939,2.379,4.584,0.033,0.182,0.081,1.914,0.004,0.009,0.817,4.514,0.110,0.236,0.304,3.694,0.385,3.880,58
31.2,60,0.835,1.247,8.640,0.039,0.155,0.178,7.733,0.004,0.008,0.613,1.224,0.109,0.235,0.255,0.457,0.234,0.785,60
32.2,59,0.859,1.667,3.491,0.043,0.240,0.052,0.188,0.004,0.011,0.758,3.169,0.170,1.954,0.310,2.989,0.262,0.939,59
33.2,60,0.942,1.360,7.297,0.042,0.222,0.113,3.459,0.115,6.656,0.669,4.036,0.112,0.201,0.254,0.408,0.287,3.616,60
34.2,55,0.782,1.321,2.204,0.046,0.596,0.088,1.762,0.004,0.008,0.642,1.517,0.118,0.305,0.263,0.472,0.242,0.869,55
35.2,55,0.727,1.225,1.522,0.032,0.112,0.048,0.092,0.004,0.009,0.640,1.426,0.112,0.158,0.240,0.402,0.271,0.920,55
36.2,54,0.803,1.232,2.863,0.038,0.158,0.058,0.125,0.005,0.010,0.698,2.774,0.124,0.187,0.256,0.484,0.299,2.204,54
37.2,57,0.974,1.328,7.632,0.031,0.082,0.221,6.660,0.004,0.006,0.715,7.584,0.108,0.180,0.226,0.287,0.366,7.266,57
38.2,53,0.834,1.511,3.065,0.034,0.121,0.087,1.843,0.005,0.011,0.706,2.994,0.121,0.194,0.281,2.141,0.286,0.942,53
39.2,58,0.697,1.024,1.325,0.032,0.087,0.048,0.081,0.004,0.008,0.610,1.235,0.109,0.189,0.230,0.369,0.255,0.774,58
40.2,55,0.807,1.178,4.281,0.032,0.084,0.048,0.095,0.005,0.029,0.720,4.196,0.119,0.250,0.311,3.634,0.274,0.829,55
41.2,56,0.807,1.647,2.523,0.032,0.093,0.051,0.138,0.004,0.008,0.717,2.414,0.162,2.012,0.253,0.486,0.280,1.109,56
42.2,55,1.114,1.522,14.404,0.031,0.093,0.109,3.395,0.004,0.010,0.968,14.349,0.186,3.566,0.251,0.534,0.512,13.960,55
43.2,54,0.859,1.366,3.419,0.034,0.112,0.098,2.459,0.005,0.012,0.719,3.325,0.121,0.289,0.306,2.653,0.274,0.773,54
44.2,58,1.051,1.500,8.469,0.031,0.085,0.049,0.084,0.004,0.009,0.964,8.392,0.427,7.517,0.237,0.437,0.283,0.950,58
