elapsed_s,fps,tick_mean_ms,tick_p95_ms,tick_max_ms,drain_queue_mean_ms,drain_queue_max_ms,ctrl_spacer_mean_ms,ctrl_spacer_max_ms,dot_click_mean_ms,dot_click_max_ms,frame_mean_ms,frame_max_ms,waveform_mean_ms,waveform_max_ms,meters_mean_ms,meters_max_ms,spectrum_dispatch_mean_ms,spectrum_dispatch_max_ms,frames
1.0,61,0.049,0.102,0.247,0.005,0.007,0.042,0.237,0.001,0.002,0.001,0.007,,,,,,,61
2.0,60,0.059,0.172,0.190,0.011,0.160,0.045,0.184,0.001,0.002,0.001,0.001,,,,,,,60
3.0,60,0.047,0.070,0.182,0.005,0.014,0.039,0.175,0.001,0.001,0.001,0.001,,,,,,,60
4.0,57,0.054,0.170,0.292,0.006,0.143,0.045,0.285,0.000,0.001,0.000,0.001,,,,,,,57
5.0,60,0.045,0.067,0.171,0.005,0.009,0.037,0.163,0.001,0.001,0.001,0.001,,,,,,,60
6.0,60,0.037,0.062,0.161,0.006,0.132,0.029,0.057,0.000,0.001,0.000,0.001,,,,,,,60
7.0,60,0.046,0.100,0.247,0.005,0.066,0.037,0.239,0.000,0.001,0.000,0.001,,,,,,,60
8.0,60,0.046,0.093,0.174,0.005,0.007,0.038,0.167,0.001,0.002,0.001,0.001,,,,,,,60
9.0,60,0.048,0.087,0.237,0.008,0.206,0.037,0.196,0.001,0.001,0.000,0.001,,,,,,,60
10.0,60,0.047,0.094,0.172,0.005,0.011,0.040,0.166,0.001,0.001,0.000,0.001,,,,,,,60
11.0,60,0.044,0.104,0.174,0.005,0.066,0.035,0.148,0.001,0.020,0.000,0.001,,,,,,,60
12.0,60,0.056,0.132,0.224,0.007,0.133,0.045,0.218,0.001,0.001,0.001,0.001,,,,,,,60
13.0,57,0.041,0.068,0.171,0.005,0.009,0.034,0.165,0.001,0.002,0.001,0.001,,,,,,,57
14.0,60,0.044,0.075,0.165,0.004,0.008,0.036,0.159,0.001,0.001,0.000,0.001,,,,,,,60
15.0,60,0.039,0.065,0.202,0.004,0.007,0.033,0.196,0.001,0.015,0.000,0.001,,,,,,,60
16.0,60,0.050,0.167,0.209,0.004,0.007,0.044,0.199,0.001,0.001,0.000,0.001,,,,,,,60
17.0,40,9.846,38.199,147.587,6.783,146.914,0.487,5.584,0.293,11.461,2.281,27.188,3.626,26.928,0.322,0.639,0.001,0.001,40
18.0,48,3.048,10.924,38.186,0.482,22.614,1.025,17.141,0.006,0.020,1.532,37.950,0.373,12.274,1.138,37.723,0.001,0.003,48
19.1,59,3.078,8.302,57.703,0.009,0.183,1.187,42.357,0.271,15.598,1.606,22.856,1.001,22.225,0.587,4.562,0.001,0.001,59
20.1,60,2.350,10.426,49.431,0.043,1.152,1.099,48.870,0.061,3.376,1.145,18.462,0.450,9.155,0.676,18.334,0.001,0.002,60
21.2,58,3.341,6.003,105.980,0.020,0.538,0.149,4.103,0.011,0.157,3.159,105.858,2.366,105.319,0.770,10.160,0.001,0.003,58
22.2,52,3.116,15.507,43.095,0.008,0.021,0.942,32.375,0.006,0.053,2.157,42.932,0.576,19.248,1.562,42.596,0.001,0.002,52
23.2,53,4.960,16.286,137.454,0.008,0.017,0.615,13.224,0.005,0.015,4.329,133.140,2.756,132.559,1.554,30.126,0.001,0.002,53
24.4,56,4.429,9.780,122.471,0.011,0.020,0.640,18.710,0.006,0.025,3.769,103.721,2.608,102.829,1.138,39.197,0.001,0.002,56
25.4,50,4.516,0.991,140.286,0.009,0.019,0.736,33.963,0.005,0.013,3.764,140.210,1.846,61.358,0.448,6.328,0.001,0.003,50
26.4,52,3.758,5.884,141.667,0.009,0.019,1.117,48.158,0.005,0.013,2.625,93.488,1.803,82.690,0.802,10.770,0.001,0.002,52
27.4,51,4.413,7.308,160.722,0.010,0.016,0.844,19.531,0.006,0.017,3.550,141.152,3.003,140.653,0.526,6.433,0.001,0.002,51
28.4,53,3.910,6.495,87.151,0.007,0.015,2.044,73.534,0.004,0.021,1.851,44.677,1.492,44.230,0.341,3.012,0.001,0.003,53
29.4,57,2.218,4.937,45.295,0.025,0.843,0.211,4.319,0.006,0.014,1.972,45.185,1.482,38.903,0.469,6.254,0.001,0.002,57
30.4,41,3.551,12.479,59.243,0.028,0.695,0.172,3.910,0.007,0.012,3.341,59.153,0.531,12.070,2.785,55.260,0.001,0.002,41
31.4,35,1.148,4.363,7.544,0.037,0.842,0.117,1.485,0.007,0.010,0.984,7.423,0.322,6.834,0.636,6.100,0.001,0.002,35
32.5,31,1.196,4.578,6.323,0.013,0.022,0.215,4.376,0.007,0.014,0.957,6.191,0.481,5.737,0.450,2.972,0.001,0.003,31
33.5,29,1.790,7.808,11.040,0.065,1.460,0.451,6.602,0.008,0.012,1.262,10.849,0.374,4.269,0.860,8.929,0.001,0.002,29
34.5,22,1.353,4.295,8.486,0.016,0.023,0.320,5.186,0.008,0.011,1.005,8.388,0.607,7.853,0.370,0.509,0.001,0.002,22
35.5,22,1.974,1.386,22.945,0.017,0.024,0.207,2.635,0.008,0.011,1.737,22.794,0.416,4.924,1.291,20.274,0.001,0.002,22
36.5,25,2.166,3.259,22.906,0.015,0.020,0.638,12.010,0.010,0.090,1.498,22.757,0.098,0.435,1.371,22.609,0.001,0.002,25
37.6,20,5.903,44.868,52.685,0.014,0.025,3.685,51.721,0.008,0.015,2.191,28.793,0.380,5.839,1.782,28.646,0.001,0.003,20
38.6,22,1.486,3.531,8.599,0.018,0.023,0.232,3.032,0.009,0.015,1.222,8.447,0.447,7.896,0.741,8.293,0.001,0.003,22
39.6,22,2.984,3.892,42.903,0.017,0.027,0.218,2.787,0.008,0.012,2.735,42.779,0.350,5.322,2.354,42.661,0.001,0.002,22
40.6,22,3.190,6.696,26.198,0.015,0.024,0.293,4.552,0.011,0.072,2.867,21.618,0.878,10.265,1.959,16.154,0.001,0.002,22
41.7,21,2.869,7.659,32.858,0.017,0.028,0.409,5.310,0.008,0.012,2.430,32.617,0.161,1.544,2.236,32.501,0.001,0.002,21
42.7,23,1.196,3.844,6.034,0.017,0.024,0.092,0.132,0.008,0.011,1.075,5.895,0.445,5.330,0.598,5.742,0.001,0.002,23
43.7,26,1.649,5.706,8.655,0.021,0.099,0.261,4.693,0.009,0.036,1.355,8.551,0.738,7.180,0.590,3.793,0.001,0.003,26
44.7,34,0.655,1.413,3.295,0.013,0.026,0.153,2.705,0.006,0.013,0.479,1.342,0.127,1.067,0.327,0.676,0.001,0.002,34
45.7,34,0.726,0.717,8.194,0.013,0.026,0.071,0.127,0.006,0.011,0.633,8.065,0.292,7.622,0.315,0.737,0.001,0.002,34
46.8,40,0.633,0.798,5.936,0.012,0.077,0.063,0.117,0.005,0.010,0.549,5.849,0.201,5.462,0.326,1.255,0.001,0.002,40
47.8,43,0.743,0.565,7.359,0.010,0.016,0.212,6.785,0.005,0.008,0.514,7.255,0.223,6.949,0.271,0.421,0.001,0.002,43
